grid_id,grid_lat,grid_lon,year,event_count,mean_mag,max_mag,mean_depth,event_occur
-10.0_106.0,-10.0,106.0,2023,1,4.5,4.5,184.2,1
-10.0_106.0,-10.0,106.0,2024,2,4.785,4.84,10.0,1
-10.0_106.0,-10.0,106.0,2025,1,5.16,5.16,10.0,1
-10.0_107.0,-10.0,107.0,2016,1,4.74,4.74,54.0,1
-10.0_107.0,-10.0,107.0,2017,2,4.9399999999999995,4.95,21.15,1
-10.0_107.0,-10.0,107.0,2018,1,4.76,4.76,27.5,1
-10.0_107.0,-10.0,107.0,2019,2,4.72,4.85,21.35,1
-10.0_107.0,-10.0,107.0,2020,1,4.8,4.8,10.0,1
-10.0_107.0,-10.0,107.0,2021,2,5.015000000000001,5.11,27.15,1
-10.0_107.0,-10.0,107.0,2022,2,4.615,4.72,10.0,1
-10.0_107.0,-10.0,107.0,2023,2,4.535,4.54,21.85,1
-10.0_107.0,-10.0,107.0,2024,7,4.885714285714286,5.04,26.099999999999998,1
-10.0_108.0,-10.0,108.0,2015,3,4.6033333333333335,4.65,31.26666666666667,1
-10.0_108.0,-10.0,108.0,2016,2,4.605,4.7,21.35,1
-10.0_108.0,-10.0,108.0,2017,1,4.9,4.9,10.0,1
-10.0_108.0,-10.0,108.0,2019,3,5.739999999999999,6.15,14.066666666666668,1
-10.0_108.0,-10.0,108.0,2020,5,4.806,5.17,23.98,1
-10.0_108.0,-10.0,108.0,2021,2,5.17,5.71,10.0,1
-10.0_108.0,-10.0,108.0,2022,2,5.13,5.13,41.0,1
-10.0_108.0,-10.0,108.0,2023,1,4.86,4.86,10.0,1
-10.0_109.0,-10.0,109.0,2015,1,4.64,4.64,19.7,1
-10.0_109.0,-10.0,109.0,2020,1,4.88,4.88,17.5,1
-10.0_109.0,-10.0,109.0,2021,1,5.12,5.12,10.0,1
-10.0_109.0,-10.0,109.0,2022,4,4.84,5.06,31.75,1
-10.0_109.0,-10.0,109.0,2024,2,4.53,4.53,7.5,1
-10.0_110.0,-10.0,110.0,2015,6,4.698333333333333,4.86,32.0,1
-10.0_110.0,-10.0,110.0,2016,1,4.67,4.67,10.0,1
-10.0_110.0,-10.0,110.0,2017,2,4.775,5.01,20.55,1
-10.0_110.0,-10.0,110.0,2018,2,4.75,4.95,22.45,1
-10.0_110.0,-10.0,110.0,2019,1,4.66,4.66,10.0,1
-10.0_110.0,-10.0,110.0,2020,4,5.3425,5.75,10.0,1
-10.0_110.0,-10.0,110.0,2021,1,4.62,4.62,10.0,1
-10.0_110.0,-10.0,110.0,2022,2,4.97,5.38,25.55,1
-10.0_110.0,-10.0,110.0,2023,1,5.9,5.9,10.0,1
-10.0_110.0,-10.0,110.0,2024,4,4.8825,5.15,17.6,1
-10.0_111.0,-10.0,111.0,2015,1,4.97,4.97,10.0,1
-10.0_111.0,-10.0,111.0,2016,5,4.822,5.1,41.339999999999996,1
-10.0_111.0,-10.0,111.0,2017,8,4.85375,5.52,31.862499999999997,1
-10.0_111.0,-10.0,111.0,2018,3,4.573333333333333,4.65,10.0,1
-10.0_111.0,-10.0,111.0,2019,2,4.8100000000000005,4.94,38.6,1
-10.0_111.0,-10.0,111.0,2020,1,4.74,4.74,10.0,1
-10.0_111.0,-10.0,111.0,2021,6,4.791666666666667,4.9,10.0,1
-10.0_111.0,-10.0,111.0,2022,2,4.54,4.58,10.0,1
-10.0_111.0,-10.0,111.0,2024,1,5.2,5.2,49.2,1
-10.0_112.0,-10.0,112.0,2015,6,5.056666666666667,5.86,45.76666666666666,1
